,序號,券商,價格,買進股數,賣出股數
266,534,116s日盛土城,571.0,1000,0
267,535,116s日盛土城,572.0,0,1000
267,536,116s日盛土城,573.0,0,1000
268,537,116S日盛新莊,560.0,12000,6000
268,538,116S日盛新莊,561.0,0,1000
269,539,116S日盛新莊,562.0,0,6000
269,540,116S日盛新莊,563.0,1030,1000
270,541,116S日盛新莊,564.0,10,0
270,542,116S日盛新莊,565.0,100,10000
271,543,116S日盛新莊,569.0,2000,0
271,544,116S日盛新莊,570.0,2000,0
272,545,116S日盛新莊,572.0,0,1000
272,546,116U日盛桃園,558.0,2000,2000
273,547,116U日盛桃園,560.0,10,0
273,548,116U日盛桃園,561.0,1000,0
274,549,116U日盛桃園,564.0,1100,0
274,550,116U日盛桃園,565.0,100,0
275,551,116U日盛桃園,566.0,2000,0
275,552,116U日盛桃園,569.0,1000,1000
276,553,116U日盛桃園,570.0,0,1000
276,554,116V日盛斗六,558.0,1000,1000
277,555,116V日盛斗六,562.0,3000,1000
277,556,116V日盛斗六,563.0,0,30
278,557,116V日盛斗六,567.0,1000,0
278,558,116V日盛斗六,568.0,0,1000
279,559,116V日盛斗六,569.0,1000,1000
279,560,116V日盛斗六,573.0,1000,0
280,561,116W日盛鳳山,558.0,1000,0
280,562,116W日盛鳳山,559.0,1000,0
281,563,116W日盛鳳山,560.0,2000,0
281,564,116W日盛鳳山,561.0,2000,0
282,565,116W日盛鳳山,563.0,10,2000
282,566,116W日盛鳳山,566.0,1000,1000
283,567,116W日盛鳳山,568.0,100,2000
283,568,116W日盛鳳山,569.0,0,1000
284,569,116W日盛鳳山,573.0,1000,0
284,570,116X日盛宜蘭,562.0,1000,0
285,571,116X日盛宜蘭,566.0,100,2000
285,572,116Z日盛中和,558.0,0,1000
286,573,116Z日盛中和,560.0,4000,0
286,574,116Z日盛中和,561.0,1300,0
287,575,116Z日盛中和,562.0,1000,0
287,576,116Z日盛中和,563.0,2100,1000
288,577,116Z日盛中和,571.0,0,1000
288,578,1230彰    銀,558.0,1000,0
289,579,1230彰    銀,560.0,3000,0
289,580,1230彰    銀,562.0,4000,0
290,581,1230彰    銀,563.0,2000,0
290,582,1230彰    銀,565.0,0,2000
291,583,1232彰銀七賢,560.0,1000,1000
291,584,1232彰銀七賢,565.0,0,1000
292,585,1232彰銀七賢,568.0,1000,0
292,586,1233彰銀台中,562.0,1000,0
293,587,1233彰銀台中,563.0,2000,0
293,588,1260宏    遠,558.0,0,1000
294,589,1260宏    遠,559.0,0,2000
294,590,1260宏    遠,560.0,13000,2000
295,591,1260宏    遠,562.0,0,5000
295,592,1260宏    遠,564.0,2000,0
296,593,1260宏    遠,567.0,0,1000
296,594,1260宏    遠,570.0,0,1000
297,595,1261宏遠民生,560.0,1000,0
297,596,1261宏遠民生,563.0,1000,0
298,597,1261宏遠民生,564.0,1000,0
298,598,1261宏遠民生,565.0,1000,0
299,599,1261宏遠民生,566.0,0,1000
299,600,1261宏遠民生,569.0,0,1000
300,601,1262宏遠桃園,562.0,1000,0
300,602,1262宏遠桃園,563.0,1000,0
301,603,1262宏遠桃園,564.0,1000,0
301,604,1262宏遠桃園,565.0,1000,0
302,605,1262宏遠桃園,567.0,0,1000
302,606,126D宏遠台南,558.0,1000,0
303,607,126D宏遠台南,563.0,1010,0
303,608,126D宏遠台南,565.0,10,0
304,609,126H宏遠中和,560.0,0,3000
304,610,126H宏遠中和,561.0,3000,0
305,611,126H宏遠中和,563.0,25,0
305,612,126H宏遠中和,564.0,1000,0
306,613,126i宏遠光隆,558.0,10000,0
306,614,126i宏遠光隆,559.0,1000,0
307,615,126i宏遠光隆,560.0,3000,0
307,616,126i宏遠光隆,562.0,4000,0
308,617,126i宏遠光隆,563.0,2000,0
308,618,126i宏遠光隆,564.0,1000,10000
309,619,126i宏遠光隆,565.0,1000,0
309,620,126i宏遠光隆,568.0,1000,0
310,621,126i宏遠光隆,573.0,1000,0
310,622,126L宏遠台中,560.0,0,1000
311,623,126L宏遠台中,561.0,1000,0
311,624,126L宏遠台中,562.0,1000,0
312,625,126L宏遠台中,563.0,2000,0
312,626,126L宏遠台中,564.0,5000,0
313,627,126L宏遠台中,565.0,1000,0
313,628,126L宏遠台中,566.0,1000,0
314,629,126L宏遠台中,568.0,1000,0
314,630,126L宏遠台中,570.0,2000,0
315,631,126L宏遠台中,574.0,1000,0
315,632,126Q宏遠高雄,560.0,6000,0
316,633,126Q宏遠高雄,563.0,2000,2000
316,634,126Q宏遠高雄,564.0,1000,2000
317,635,126Q宏遠高雄,573.0,0,1000
317,636,126U宏遠館前,558.0,5000,0
318,637,126U宏遠館前,560.0,6000,0
